"AgeGroup","Year","CNA"
"Age group 1",1,30.8230397239564
"Age group 2",1,12.32100299857
"Age group 3",1,9.73448456424089
"Age group 4",1,5.03184683951594
"Age group 5",1,2.74370167081154
"Age group 6",1,1.64464714274787
"Age group 7",1,1.02814590305755
"Age group 8",1,0.590135025110458
"Age group 9",1,0.31144648951382
"Age group 10",1,0.157334300074709
"Age group 11",1,0.0783861334037328
"Age group 12",1,0.0391451749446067
"Age group 13",1,0.0196495776784952
"Age group 14",1,0.00988810794206516
"Age group 15",1,0.00501699234634366
"Age group 1",2,136.704680686559
"Age group 2",2,84.4675868617993
"Age group 3",2,33.0603075583714
"Age group 4",2,25.169002196452
"Age group 5",2,14.6601391407493
"Age group 6",2,6.86992354269006
"Age group 7",2,3.41805369957865
"Age group 8",2,1.64348503850507
"Age group 9",2,0.751973120319349
"Age group 10",2,0.339057322268144
"Age group 11",2,0.154346766790803
"Age group 12",2,0.0710768939012927
"Age group 13",2,0.0335171567304792
"Age group 14",2,0.0161358945222019
"Age group 15",2,0.0183499642033248
"Age group 1",3,108.83073020449
"Age group 2",3,95.4952087915481
"Age group 3",3,57.2659266381477
"Age group 4",3,20.5792031443577
"Age group 5",3,19.2000584934017
"Age group 6",3,10.0967792003555
"Age group 7",3,4.35571813233445
"Age group 8",3,1.90689511802194
"Age group 9",3,0.87178422513885
"Age group 10",3,0.410058749106928
"Age group 11",3,0.19574470800723
"Age group 12",3,0.0936087581392776
"Age group 13",3,0.044983161929252
"Age group 14",3,0.0219341948377731
"Age group 15",3,0.0247838613656676
"Age group 1",4,56.2161828354183
"Age group 2",4,29.4397791953087
"Age group 3",4,25.5647626278539
"Age group 4",4,13.6062151848774
"Age group 5",4,6.49543215238886
"Age group 6",4,5.56569293856428
"Age group 7",4,2.91670164885819
"Age group 8",4,1.20552254546638
"Age group 9",4,0.554228994503628
"Age group 10",4,0.291614218784885
"Age group 11",4,0.161290707515268
"Age group 12",4,0.0882018384240729
"Age group 13",4,0.0472486853620515
"Age group 14",4,0.0247650568543273
"Age group 15",4,0.0293046595666086
"Age group 1",5,47.2958849830338
"Age group 2",5,49.0998550509553
"Age group 3",5,25.9540841752442
"Age group 4",5,19.7609698973963
"Age group 5",5,13.5521797845283
"Age group 6",5,5.81216191321063
"Age group 7",5,4.7001245688635
"Age group 8",5,2.03364796638356
"Age group 9",5,0.744646629153395
"Age group 10",5,0.332001142120603
"Age group 11",5,0.178579489106452
"Age group 12",5,0.101341801457082
"Age group 13",5,0.0571984657250173
"Age group 14",5,0.0313855503899553
"Age group 15",5,0.0372253646616046
"Age group 1",6,123.068263978294
"Age group 2",6,45.5964996372493
"Age group 3",6,46.0990368588623
"Age group 4",6,20.8332596589423
"Age group 5",6,21.3163714022722
"Age group 6",6,12.9243564133026
"Age group 7",6,5.17127878217409
"Age group 8",6,3.3385048323669
"Age group 9",6,1.28385295024887
"Age group 10",6,0.457072092547676
"Age group 11",6,0.207848995663914
"Age group 12",6,0.114029425468196
"Age group 13",6,0.0666308272625095
"Age group 14",6,0.0384224103923053
"Age group 15",6,0.0457687638029386
"Age group 1",7,89.2986263490945
"Age group 2",7,33.7540064851604
"Age group 3",7,12.1431795340965
"Age group 4",7,10.419120458512
"Age group 5",7,6.66956633674875
"Age group 6",7,5.84625951647191
"Age group 7",7,3.71712696800097
"Age group 8",7,1.29847990425811
"Age group 9",7,0.89715947435923
"Age group 10",7,0.404534022947926
"Age group 11",7,0.171904277364064
"Age group 12",7,0.0895603807228442
"Age group 13",7,0.0555626012340731
"Age group 14",7,0.0356270495750188
"Age group 15",7,0.0457991614994736
"Age group 1",8,137.147251343801
"Age group 2",8,85.7437001928358
"Age group 3",8,31.4276781857498
"Age group 4",8,9.75497645844804
"Age group 5",8,11.9954655842087
"Age group 6",8,6.29450092024205
"Age group 7",8,5.41864756802472
"Age group 8",8,2.43849577624462
"Age group 9",8,0.768462361641583
"Age group 10",8,0.519381994434945
"Age group 11",8,0.241353502684447
"Age group 12",8,0.104976895472259
"Age group 13",8,0.0566858923416098
"Age group 14",8,0.0360616481099368
"Age group 15",8,0.0475742870265217
"Age group 1",9,15.2838082982217
"Age group 2",9,12.9806695594075
"Age group 3",9,8.28241514306336
"Age group 4",9,2.80936895552592
"Age group 5",9,1.45255807321503
"Age group 6",9,1.63764355434542
"Age group 7",9,1.1094987738725
"Age group 8",9,0.825037454779362
"Age group 9",9,0.468410573263877
"Age group 10",9,0.185485921473063
"Age group 11",9,0.158901683768834
"Age group 12",9,0.0888986591710237
"Age group 13",9,0.0454796122707284
"Age group 14",9,0.0276012605271969
"Age group 15",9,0.0396637580541285
"Age group 1",10,43.5695972431751
"Age group 2",10,17.5941349943355
"Age group 3",10,16.986818028121
"Age group 4",10,9.43130765290612
"Age group 5",10,4.26254301480146
"Age group 6",10,1.74326464548731
"Age group 7",10,2.20420325769676
"Age group 8",10,1.02557892624338
"Age group 9",10,0.742802965730714
"Age group 10",10,0.38601163591852
"Age group 11",10,0.150129025793112
"Age group 12",10,0.124520684048205
"Age group 13",10,0.0689474624653439
"Age group 14",10,0.0345630709881136
"Age group 15",10,0.0458825746209269
"Age group 1",11,52.2220936726887
"Age group 2",11,60.9217893832357
"Age group 3",11,26.6806715875662
"Age group 4",11,21.4437145985268
"Age group 5",11,15.4673397689695
"Age group 6",11,5.53088580814885
"Age group 7",11,2.67079524407753
"Age group 8",11,2.22408856860118
"Age group 9",11,1.03815621700116
"Age group 10",11,0.665109624853413
"Age group 11",11,0.339627379230211
"Age group 12",11,0.125589435312234
"Age group 13",11,0.102123898925865
"Age group 14",11,0.0549384518980387
"Age group 15",11,0.0654974326450836
"Age group 1",12,141.605988717206
"Age group 2",12,66.5389450943572
"Age group 3",12,75.4738561640785
"Age group 4",12,27.3220047596568
"Age group 5",12,30.8302905610615
"Age group 6",12,16.4447476344894
"Age group 7",12,7.17080880609
"Age group 8",12,2.10699013992176
"Age group 9",12,1.88455175913835
"Age group 10",12,0.77770293212302
"Age group 11",12,0.514341882330998
"Age group 12",12,0.255668667576608
"Age group 13",12,0.0951113411974007
"Age group 14",12,0.076610042597437
"Age group 15",12,0.0927941412012771
"Age group 1",13,27.163447647852
"Age group 2",13,28.1204696165802
"Age group 3",13,13.3263004068628
"Age group 4",13,12.7726241057772
"Age group 5",13,7.76034278422499
"Age group 6",13,6.83625798464135
"Age group 7",13,5.78845280779316
"Age group 8",13,1.6729711395128
"Age group 9",13,0.698056701746216
"Age group 10",13,0.641679308287198
"Age group 11",13,0.331132691423281
"Age group 12",13,0.242924984207229
"Age group 13",13,0.135956792866108
"Age group 14",13,0.054492663759673
"Age group 15",13,0.0854533698123032
"Age group 1",14,135.106785667165
"Age group 2",14,78.6653820324901
"Age group 3",14,87.3689557977395
"Age group 4",14,32.6034055541352
"Age group 5",14,49.5034733869333
"Age group 6",14,19.1181327764481
"Age group 7",14,19.0318807543193
"Age group 8",14,7.60532001038687
"Age group 9",14,2.22488457891865
"Age group 10",14,0.663774162106201
"Age group 11",14,0.602833260138699
"Age group 12",14,0.283395466394834
"Age group 13",14,0.202648165518008
"Age group 14",14,0.109049733070651
"Age group 15",14,0.115719030734698
"Age group 1",15,15.2888223336795
"Age group 2",15,13.7080440913604
"Age group 3",15,8.09044115586502
"Age group 4",15,6.94448537369417
"Age group 5",15,5.29335327269615
"Age group 6",15,6.02984396212318
"Age group 7",15,3.98316484465698
"Age group 8",15,2.58944033660729
"Age group 9",15,1.78946649686458
"Age group 10",15,0.510078477552074
"Age group 11",15,0.212952122662391
"Age group 12",15,0.22498501513952
"Age group 13",15,0.126156234187808
"Age group 14",15,0.100832864128106
"Age group 15",15,0.134345185166152
"Age group 1",16,230.657991425268
"Age group 2",16,65.587147114209
"Age group 3",16,67.9026766179341
"Age group 4",16,29.7178430328256
"Age group 5",16,43.6273943900823
"Age group 6",16,21.7017547987387
"Age group 7",16,26.7998577637046
"Age group 8",16,7.629940846967
"Age group 9",16,4.73484292367394
"Age group 10",16,2.13348979109494
"Age group 11",16,0.594715353423053
"Age group 12",16,0.210446063055339
"Age group 13",16,0.209438133547191
"Age group 14",16,0.109440831760428
"Age group 15",16,0.15983651298283
"Age group 1",17,32.0159065167974
"Age group 2",17,50.9558483682131
"Age group 3",17,15.0279499866276
"Age group 4",17,11.3400598823943
"Age group 5",17,10.698347474257
"Age group 6",17,10.9991013567573
"Age group 7",17,6.95665074084594
"Age group 8",17,4.32557574429382
"Age group 9",17,1.85383616437742
"Age group 10",17,1.18385059619082
"Age group 11",17,0.780336529414563
"Age group 12",17,0.239538638824853
"Age group 13",17,0.0993787213745438
"Age group 14",17,0.108805587131254
"Age group 15",17,0.144502497988654
"Age group 1",18,80.4716619746712
"Age group 2",18,34.5492635296442
"Age group 3",18,56.4033197039338
"Age group 4",18,12.7801234121121
"Age group 5",18,21.5846249317984
"Age group 6",18,14.1745304559565
"Age group 7",18,15.2391763088164
"Age group 8",18,4.39087917998421
"Age group 9",18,2.95125167863478
"Age group 10",18,1.04814648440094
"Age group 11",18,0.784698247329335
"Age group 12",18,0.508704796606721
"Age group 13",18,0.164474392173012
"Age group 14",18,0.0683061378244077
"Age group 15",18,0.129926449337285
"Age group 1",19,2.95974861608604
"Age group 2",19,1.37666547255876
"Age group 3",19,0.659484120550728
"Age group 4",19,0.885630262816094
"Age group 5",19,0.477247448306113
"Age group 6",19,0.586900502890492
"Age group 7",19,0.547438713229773
"Age group 8",19,0.471230449835158
"Age group 9",19,0.27289001310522
"Age group 10",19,0.261798891531923
"Age group 11",19,0.165544077081407
"Age group 12",19,0.173879505567604
"Age group 13",19,0.158926210856736
"Age group 14",19,0.0627979809008247
"Age group 15",19,0.0918637217628094
"Age group 1",20,7.71192885025
"Age group 2",20,3.59053309092404
"Age group 3",20,2.30728413397139
"Age group 4",20,0.975203470086029
"Age group 5",20,2.4088514781256
"Age group 6",20,0.854030347730109
"Age group 7",20,1.07766838520371
"Age group 8",20,0.640350377360835
"Age group 9",20,0.606871176283453
"Age group 10",20,0.306105861835985
"Age group 11",20,0.318206129718003
"Age group 12",20,0.191632210184759
"Age group 13",20,0.202871079824534
"Age group 14",20,0.173522066647069
"Age group 15",20,0.226531042174118
